Variable,Standard_Coef,LASSO_Coef,Standard_P,LASSO_P,Coef_Difference,P_Improvement
IDADE,0.018992975313531654,0.01766620496685531,3.403820188972568e-11,3.248080790080074e-10,0.0013267703466763453,-2.9076987711828173e-10
SEXO,-0.26700044957200975,-0.24552762380044793,0.01286468046046318,0.01840973811355757,0.021472825771561815,-0.005545057653094392
CIRURGIA,-0.1396915093324976,-0.13453989477287648,0.024324103857703217,0.026670574280438168,0.005151614559621126,-0.002346470422734951
OUTROS_TRATAMENTOS,0.8852662820909424,0.8554895511662295,1.2369716622861031e-51,7.948955873071984e-50,0.02977673092471289,-7.825258706843374e-50
RECNENHUM,-1.122760405220944,-1.094720222650774,7.716970904571185e-84,5.89267614170431e-81,0.028040182570169936,-5.884959170799739e-81
TRATCONS,-0.2889103589612164,-0.2715040612612648,0.003039883786145334,0.004872553624691246,0.01740629769995161,-0.0018326698385459118
CONVENIO,-0.9378290941804638,-0.8334464500764915,5.901890728156943e-10,2.5336380942594217e-09,0.10438264410397224,-1.9434490214437273e-09
SUS,-0.06586460172675779,-0.04385555770594781,0.2618918773410009,0.44724946451149084,0.022009044020809977,-0.18535758717048995
DIAGPREV_EXAME,0.1194704298045229,0.11013760264569127,0.04784511485864981,0.06300314707605172,0.00933282715883163,-0.015158032217401904
